198     G27786     1600777 00818        100
198     G27786      512855 02169         50
198     G27786      512855 00282         50
198     G27786      288880 02579        100
198     G27787      188880 02579        100
198     G27788     2750777 00818        100
198     G27788      758560 00560        100
198     G27789     4087500 02219        100
198     G27789      252550 02421        100
198     G27790     3325803 00282        100
198     G27790      526000 02417        100
198     G27790      507669 02407        100
198     G27791     2122216 00282        100
198     G27792      211000 02169        100
198     G27793     1326925 02266        100
198     G27793     1250000 01711        100
198     G27793     1165999 01978         60
198     G27793     1165999 01999         15
198     G27793     1165999 02668         25
198     G27793      757757 00818         60
198     G27793      757757 02246         40
198     G27793      417600 00064        100
198     G27794      463390 02872        100
198     G27795     1100777 00818        100
198     G27795      252560 00560        100
198     G27796      821976 01513        100
198     G27796      758560 00560        100
198     G27796      316925 02266        100
198     G27796      250777 00818        100
198     G27797      355912 01978         60
198     G27797      355912 01999         15
198     G27797      355912 02668         25
198     G27797      316925 02266        100
198     G27797      190777 00818        100
198     G27798     1111994 01364        100
198     G27798      331976 01513        100
198     G27799      585855 00282        100
198     G27800      635555 00282        100
198     G27801      910000 01711        100
198     G27802      231950 02872        100
198     G27803      257650 02872        100
198     G27804      149855 00818         50
198     G27804      149855 02377         50
198     G27805      618885 02277       44.3
198     G27805      618885 01364       25.7
198     G27805      618885 01207         30
198     G27806      418885 02277         70
198     G27806      418885 01207         30
198     G27807      256560 00560        100
198     G27808      601601 01963        100
198     G27809      810000 02058        100
198     G27810      101202 02777        100
198     G27810       36555 02537        100
198     G27811      131845 02481        100
198     G27812      131845 02481        100
198     G27813      130100 02877        100
198     G27814      131845 02481        100
198     G27815      131845 02481        100
198     G27816      131845 02481        100
198     G27817      131845 02481        100
198     G27818      130777 00818        100
198     G27819      721976 01513         90
198     G27819      721976 01630         10
198     G27820      227787 02407        100
198     G27821      159076 00078        100
198     G27822      142142 02765        100
198     G27823      301000 02765        100
198     G27824      676106 01704        100
198     G27824      215000 01834        100
198     G27824      142142 02765        100
198     G27825      515331 01704        100
198     G27825      330333 00818         60
198     G27825      330333 02246         40
198     G27826     1511000 02169        100
198     G27827      142142 02765        100
198     G27828     3133462 01978         60
198     G27828     3133462 01999         15
198     G27828     3133462 02668         25
198     G27829      316925 02266        100
198     G27829      307000 02631        100
198     G27830     1156925 02266        100
198     G27831     1157751 01704        100
198     G27831      601050 02222        100
198     G27831      270157 02377         95
198     G27831      270157 02537          5
198     G27832      140000 02780        100
198     G27833     1171171 01704        100
198     G27833      216925 02266        100
198     G27834     2288027 00222        100
198     G27834     1206000 02058        100
198     G27834      436925 02266        100
198     G27834      358560 00560        100
198     G27834      178178 01704        100
198     G27835      275000 02780        100
198     G27836      351600 00064        100
198     G27837     2152560 00560        100
198     G27838     2235155 01978         60
198     G27838     2235155 01999         15
198     G27838     2235155 02668         25
198     G27838      127650 02421        100
198     G27839     1738560 00560        100
198     G27839     1288880 02579        100
198     G27839      931332 01704        100
198     G27839      553950 02421        100
198     G27840      319550 02421        100
198     G27841      981454 01978         60
198     G27841      981454 01999         15
198     G27841      981454 02668         25
198     G27841      500950 02421        100
198     G27842      171000 02417        100
198     G27843      133000 02605        100
198     G27844      310877 02312        100
198     G27845      107797 02407        100
198     G27846      107797 02407        100
198     G27847      188888 02407        100
198     G27848      188880 02579        100
198     G27848      127950 01586        100
198     G27848       83603 02377        100
198     G27849      377950 01586        100
198     G27850       67718 02079        100
198     G27851     2767925 02266        100
198     G27851     2758000 02417        100
198     G27851     2542542 02765        100
198     G27851      573260 00236        100
198     G27851      131600 00064        100
198     G27852      618925 02266        100
198     G27853      205000 02766        100
198     G27854      155000 02766        100
198     G27855      540000 02780        100
198     G27856      271000 02780        100
198     G27857      277950 01586        100
198     G27858     4855355 00282        100
198     G27858     2410424 00818         60
198     G27858     2410424 02246         40
198     G27858     1577950 01586        100
198     G27858      867167 01704        100
198     G27858      333600 00064        100
198     G27858      151308 02790        100
198     G27859      157000 02479        100
198     G27860      157000 02479        100
198     G27861      157000 02479        100
198     G27862     3418994 01364        100
198     G27863      320322 02377         95
198     G27863      320322 02537          5
198     G27863      131845 02481        100
198     G27864      131845 02481        100
198     G27865      131845 02481        100
198     G27866       69063 02481        100
198     G27867      131845 02481        100
198     G27868      131845 02481        100
198     G27869      194845 02481        100
198     G27869      159994 00059        100
198     G27870      109091 02481        100
198     G27871      131845 02481        100
198     G27872      131845 02481        100
198     G27873       69063 02481        100
198     G27874      102627 02481        100
198     G27875      244845 02481        100
198     G27876      131845 02481        100
198     G27877      257000 02479        100
198     G27877      130777 00818        100
198     G27878    11101039 02397        100
198     G27878     1130600 00064        100
198     G27878      770555 02169         50
198     G27878      770555 00282         50
198     G27878      650000 01704        100
198     G27878      479350 00276        100
198     G27878      157000 02479        100
198     G27879      358560 00560        100
198     G27879      126127 02377         95
198     G27879      126127 02537          5
198     G27880      157000 02479        100
198     G27880      135825 00560        100
198     G27881      157000 02479        100
198     G27882      157000 02479        100
198     G27883      351000 00056        100
198     G27883      192193 01704        100
198     G27884      204000 02058        100
198     G27885      516275 02872        100
198     G27886      330300 01834        100
198     G27887      330300 01834        100
198     G27888      330300 01834        100
198     G27889      170718 02079        100
198     G27890      275718 02079        100
198     G27890      131845 02481        100
198     G27891       69063 02481        100
198     G27892       97986 02481        100
198     G27893      131845 02481        100
198     G27894      131845 02481        100
198     G27895      131845 02481        100
198     G27896       96650 00276        100
198     G27897      202350 00276        100
198     G27898      267925 02266        100
198     G27899      837775 00236        100
198     G27900      100270 02479        100
198     G27901      257000 02479        100
198     G27902      227925 02266        100
198     G27903      137925 02266        100
198     G27904     1743098 00730        100
198     G27905      457500 02543        100
198     G27906     1053677 02407        100
198     G27906      835835 01978         60
198     G27906      835835 02668         25
198     G27906      835835 01999         15
198     G27906      811994 01364        100
198     G27907      277787 02407        100
198     G27908      627000 02631        100
